date,combo,exposure,btc_price
2022-05-13,-0.0334230769230769,0.5,29283.103515625
2022-05-14,-0.0334230769230769,0.5,30101.265625
2022-05-15,-0.0324230769230769,0.5,31305.11328125
2022-05-16,-0.0307564102564102,0.5,29862.91796875
2022-05-17,-0.0364230769230769,0.5,30425.857421875
2022-05-18,-0.0264230769230769,0.5,28720.271484375
2022-05-19,-0.0214230769230769,0.5,30314.333984375
2022-05-20,-0.0214230769230769,0.5,29200.740234375
2022-05-21,-0.0171025641025641,0.5,29432.2265625
2022-05-22,-0.0194358974358974,0.5,30323.72265625
2022-05-23,-0.0191025641025641,0.5,29098.91015625
2022-05-24,-0.0191025641025641,0.5,29655.5859375
2022-05-25,-0.0154487179487179,0.5,29562.361328125
2022-05-26,-0.0107820512820512,0.5,29267.224609375
2022-05-27,-0.0183717948717948,0.5,28627.57421875
2022-05-28,-0.0111282051282051,0.5,28814.900390625
2022-05-29,-0.0091410256410256,0.5,29445.95703125
2022-05-30,-0.0024871794871794,0.5,31726.390625
2022-05-31,-0.009076923076923,0.5,31792.310546875
2022-06-01,-0.013076923076923,0.5,29799.080078125
2022-06-02,-0.0144230769230769,0.5,30467.48828125
2022-06-03,-0.0160897435897435,0.5,29704.390625
2022-06-04,-0.0104230769230769,0.5,29832.9140625
2022-06-05,-0.0037692307692307,0.5,29906.662109375
2022-06-06,-0.0064358974358974,0.5,31370.671875
2022-06-07,-0.0097692307692307,0.5,31155.478515625
2022-06-08,-0.0097692307692307,0.5,30214.35546875
2022-06-09,-0.0054358974358974,0.5,30111.998046875
2022-06-10,-0.0071025641025641,0.5,29083.8046875
2022-06-11,-0.0104358974358974,0.5,28360.810546875
2022-06-12,-0.0071025641025641,0.5,26762.6484375
2022-06-13,-0.0114358974358974,0.5,22487.388671875
2022-06-14,-0.0131025641025641,0.5,22206.79296875
2022-06-15,-0.0131025641025641,0.5,22572.83984375
2022-06-16,-0.0114358974358974,0.5,20381.650390625
2022-06-17,-0.0341794871794871,0.5,20471.482421875
2022-06-18,-0.003525641025641,0.5,19017.642578125
2022-06-19,-0.0001923076923076,0.5,20553.271484375
2022-06-20,0.0034743589743589,0.5,20599.537109375
2022-06-21,-0.0007820512820512,0.5,20710.59765625
2022-06-22,0.0008846153846153,0.5,19987.029296875
2022-06-23,0.0012179487179487,0.5,21085.876953125
2022-06-24,0.0022179487179487,0.5,21231.65625
2022-06-25,0.0015128205128205,0.5,21502.337890625
2022-06-26,0.0001538461538461,0.5,21027.294921875
2022-06-27,0.0024871794871794,0.5,20735.478515625
2022-06-28,0.0044871794871794,0.5,20280.634765625
2022-06-29,0.0054871794871794,0.5,20104.0234375
2022-06-30,-0.0015641025641025,0.5,19784.7265625
2022-07-01,-0.0606666666666666,0.6,19269.3671875
2022-07-02,-0.0304487179487179,0.6,19242.255859375
2022-07-03,-0.0291282051282051,0.6,19297.076171875
2022-07-04,-0.0255384615384615,0.6,20231.26171875
2022-07-05,-0.0496923076923077,0.6,20190.115234375
2022-07-06,-0.0496923076923077,0.6,20548.24609375
2022-07-07,-0.0266538461538461,0.6,21637.587890625
2022-07-08,-0.0322435897435897,0.5,21731.1171875
2022-07-09,-0.0345641025641025,0.5,21592.20703125
2022-07-10,-0.0310384615384615,0.5,20860.44921875
2022-07-11,-0.0441153846153846,0.5,19970.556640625
2022-07-12,-0.0131538461538461,0.5,19323.9140625
2022-07-13,-0.0317051282051282,0.5,20212.07421875
2022-07-14,-0.0285,0.5,20569.919921875
2022-07-15,-0.0162564102564102,0.5,20836.328125
2022-07-16,-0.0199102564102564,0.5,21190.31640625
2022-07-17,-0.0463589743589743,0.5,20779.34375
2022-07-18,-0.0221410256410256,0.5,22485.689453125
2022-07-19,-0.0263717948717948,0.5,23389.43359375
2022-07-20,-0.0607051282051282,0.6,23231.732421875
2022-07-21,-0.0616666666666666,0.6,23164.62890625
2022-07-22,-0.0539487179487179,0.6,22714.978515625
2022-07-23,-0.0554898989898989,0.6,22465.478515625
2022-07-24,-0.0507307692307692,0.6,22609.1640625
